linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
5471	1156	InvoiceCurrSource	NULL	NULL	050	NULL	NULL	NULL	varchar	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5503	1385	iIncoTerms_id	NULL	NULL	000	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5504	1385	cIncoTermsShort	NULL	NULL	001	1	1	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5505	1385	cIncoTermsDesc	NULL	NULL	002	1	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5506	1385	cIncoTermsInfo	NULL	NULL	003	NULL	NULL	NULL	varchar	500	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5564	772	zoekreeks	NULL	NULL	011	NULL	NULL	NULL	varchar	600	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5565	773	zoekreeks	NULL	NULL	011	NULL	NULL	NULL	varchar	600	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5566	774	zoekreeks	NULL	NULL	011	NULL	NULL	NULL	varchar	600	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5670	611	cFileNrCisShort	NULL	NULL	091	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5684	1077	cDefaultInvoiceMarksText	NULL	NULL	005	NULL	NULL	NULL	varchar	25	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5685	1077	cDefaultInvoiceGoodsText	NULL	NULL	006	NULL	NULL	NULL	varchar	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5796	1077	cDefaultShipConfMarksText	NULL	NULL	007	NULL	NULL	NULL	varchar	25	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5797	1077	cDefaultShipConfGoodsText	NULL	NULL	008	NULL	NULL	NULL	varchar	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5912	1156	ExceptionBlocked	NULL	NULL	051	NULL	NULL	NULL	varchar	500	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5913	1156	bEditable	NULL	NULL	052	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5976	669	bCisDirect	NULL	NULL	033	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5980	1077	bRouting	NULL	NULL	009	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6013	1614	GenCodeIndex	NULL	NULL	000	1	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6014	1614	GenCodeValue	NULL	NULL	001	1	NULL	NULL	varchar	20	0	NULL	NULL	NULL	NULL	NULL	NULL
6015	1614	cGenCodeType	NULL	VgmType	002	NULL	NULL	NULL	varchar	20	0	NULL	NULL	NULL	NULL	NULL	NULL
6016	1614	cConnectedGenCode	NULL	NULL	003	NULL	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6132	1022	PortOfDischargeName	NULL	NULL	030	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6133	1156	bIncentiveRelation	NULL	NULL	053	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6156	669	cPortPodName	NULL	NULL	034	NULL	NULL	NULL	varchar	35	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6207	887	bPrintChargesOnBookConf	NULL	NULL	027	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6209	890	iExtendedDaysETA	NULL	NULL	026	1	NULL	NULL	int	4	NULL	NULL	5	ExDay	NULL	NULL	NULL
6249	773	dLastModified	NULL	NULL	016	NULL	NULL	NULL	datetime	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6263	772	dLastModified	NULL	NULL	016	NULL	NULL	NULL	datetime	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
